summary,type,category
 great party at night good to meet other people friendly owner the bathrooms are dirty sometimes because the toilet is in the same room as the shower,ServiceReviews,1
00am we would have left immediately we saw the bedrooms,ServiceReviews,1
1 is beach front resort with restaurant swimming pool the other 1 is pool villa with gym pool villa hi level of privacy,LocationReviews,0
1 kilometre from patong beach big n clean rooms with balcony very reasonable,LocationReviews,0
1 min walk max,LocationReviews,0
1 score just for near the bts station,LocationReviews,0
1 with a michelin star any many famous tourists attractions within walking distance,LocationReviews,0
10 15 minute walk to the beach with lots to do on the way,LocationReviews,0
10 mins walk from ao nang beach,LocationReviews,0
10 minute walk from pier close to bars and restaurants,LocationReviews,0
10 minute walk to the beach and lots of restaurants on the doorstep,LocationReviews,0
10 minutes walk to patong beach and bangla road,LocationReviews,0
10 minutes walking distance to bangla road,LocationReviews,0
100 thong nai pan is the place,LocationReviews,0
14 resort is centrally located in bangkok bang khae close to the mainroad,LocationReviews,0
15 20 minutes walk to the boat ferry station,LocationReviews,0
15 mins drive to fullmoon party beach,LocationReviews,0
15 minutes walk to the beach and 2 stores within 2 minutes walk,LocationReviews,0
150m to the beach means you ll reach the sea within that distance,LocationReviews,0
18 of us spent 20 nights here the staff were brilliant,ServiceReviews,1
2 bed 2 bath private villa with private pool,ServiceReviews,1
2 bedroom 2 bathroom with bathtub,ServiceReviews,1
2 familles stayed for 2 nights 3 days the facility is great for holidays with kids with plenty of options around water activities we have been in the 2 floor and the room wasn t great when get out of the elevator the smell is awful from the bins room,ServiceReviews,1
2 large bedrooms,ServiceReviews,1
2 minute walk from ko san road,LocationReviews,0
2 minutes from the beach,LocationReviews,0
2 night stay in surin and the hotel was really nice as was the location,LocationReviews,0
2 people the hotel staff were more than helpful,ServiceReviews,1
2 the location is superb,LocationReviews,0
2 with a gorgeous view and with our feet right in the white sand,LocationReviews,0
20 meter away from the sea,LocationReviews,0
20 mins walk to city gate,LocationReviews,0
20 minutes from bangla road,LocationReviews,0
2017 this was the first time experiencing thailand and to be staying at novotel kamala beach just made my first experience and amazing one priced so cheap for 12days with breakfast included everyday fast wifi,LocationReviews,0
2019 as a cheap option close to koh san road 10 min walk,LocationReviews,0
20min by scooter to the legend beach haad rin,LocationReviews,0
21 living place was nice views,LocationReviews,0
2nd visit to the park,LocationReviews,0
3 big bedroom was just perfekt for our big familj and we liked the kitchen with its,ServiceReviews,1
3 big bedrooms,ServiceReviews,1
3 minutes walk to kata beach,LocationReviews,0
30am and the staff wanted to check the room before i left,ServiceReviews,1
30am and the staff who work here are very friendly and was able to give us our room early,ServiceReviews,1
30pm and checked in to room 103 at front of the property with direct pool access our the front door,ServiceReviews,1
4 of us stayed here for my 40th birthday and this place is even better than the photos,LocationReviews,0
400 for three nights for a two bedroom villa with an open back yard,ServiceReviews,1
420 b and an elevated sea view within walking distance of most things,LocationReviews,0
5 7minutes walk to aonang beach,LocationReviews,0
5 for location and views there are many good restaurants and massage parlours at affordable prices very close to the property we were on the 20th floor and the views were truly amazing,LocationReviews,0
5 hour drive to bangkok the night before,LocationReviews,0
5 lifts na amenities 4 location 5 clealiness 5 room size 4,LocationReviews,0
5 meters away from the sea and very quiet just some planes during the day as the airport is not far away,LocationReviews,0
5 min by walk far from patong beach,LocationReviews,0
5 min interesting walk to khoa san road,LocationReviews,0
5 min moped journey to the beach,LocationReviews,0
5 mins walk to famous patong beach,LocationReviews,0
5 minute walk from beach and a few beach bars,LocationReviews,0
5 minute walk to haadrin beach but ticked enough away it is quiet,LocationReviews,0
5 minute walk to sala daeng bts station,LocationReviews,0
5 minutes walk from the beach and let s you decide between family activities at the hotel great swimming pool or the natural beach,LocationReviews,0
5 minutes walk to beach and terminal21 mall,LocationReviews,0
5 staff 5 food na drinks na air conditioning 4,ServiceReviews,1
5 star accommodation with staff who cannot do enough for you,ServiceReviews,1
5 start for the location it is absolutely amazing there see pictures,LocationReviews,0
500 rai is a 2 3 star resort featuring clean rooms with air conditioning and spectacular,ServiceReviews,1
5min away from the airport and about 10 min from naiyang beach,LocationReviews,0
6 nights in this very convenient  2 years in a row,ServiceReviews,1
7 11 is right next to the hotel,LocationReviews,0
7 11 up the road along with family mart night market next door lots of,LocationReviews,0
7 eleven is just 5mins walk away and street food stalls are just beside it although,LocationReviews,0
7eleven is right outside so makes life a little easy staff is polite and helpful,ServiceReviews,1
7th floor want to report a complaint service the situation is dated 4 august 2018,ServiceReviews,1
8 bungalows on stilts fully built in bamboo with shower and wc attached in the heart of the old town in a setting and a family atmosphere and roots ploy,LocationReviews,0
a 15km ride from jomtien beach located pattaya out skirts,LocationReviews,0
a 2 bedroom 2 king size beds rather than two hotel rooms which could be at different ends of the floor,ServiceReviews,1
a 5 minute walk to the beach or a short ride with the,LocationReviews,0
a amazing place for yoga and relax thx teacher apple,LocationReviews,0
a beautiful daily breakfast was supplied in peaceful surrounds,LocationReviews,0
a beautiful place right on the beach with very friendly owners and great food,LocationReviews,0
a beautiful resort set in jungle surroundings,LocationReviews,0
a big plus for me is that it is in a quiet street but still close to all the bars,LocationReviews,0
a bit far from pattaya city center,LocationReviews,0
a bit far from the beach,LocationReviews,0
a bit of walk from the bts station steep stairs to climb before getting to check in if you are carrying a 20kg backpack its not ideal check is was quick no wow customer experience there just sign here,LocationReviews,0
a block off the top end of bangla road and 4 or 5 blocks from patong beach,LocationReviews,0
a budgeted hotel with sea view,LocationReviews,0
a c not working no hot water safe box not working public bathroom is much better than hotel bathroom,ServiceReviews,1
a c worked well and the beds and facilities were clean,ServiceReviews,1
a classic resort with garden villas in calm and peaceful tropical surroundings at the best part of nan thong sunset beach,LocationReviews,0
a clean,ServiceReviews,1
a clean and quiet room and wifi,ServiceReviews,1
a cleaning staff keep the place spotless,ServiceReviews,1
a comfortable bed and was functional,ServiceReviews,1
a continuity of staff,ServiceReviews,1
a decent sized bedroom with good air con and a small kitchen with a full size fridge and microwave plus cutlery and plates etc,ServiceReviews,1
a fab place to stay for exploring the old town,LocationReviews,0
a family run hotel with the perfect location location,LocationReviews,0
a fan and a private bathroom are really cheap the rooms are basic but clean and the shower works sure the chair in the room is 50 years old,ServiceReviews,1
a fantastic quiet place in the jungle,LocationReviews,0
a few bungalows right on a rocky beach with a pool,LocationReviews,0
a few meters away from a small beach and 5mn drive away from fisherman village,LocationReviews,0
a few minutes walk to night market or beach surrounded by eateries,LocationReviews,0
a fitness room is available and a pool,ServiceReviews,1
a five minute walk from the pool,LocationReviews,0
a friend and i came by this place without reservation,LocationReviews,0
a friend and i found this place on trip adviser and after reading the good reviews,LocationReviews,0
a friend and i split what was described as a one bedroom apartment on agoda,ServiceReviews,1
a friend of mine recommended the hotel to me based on the location,LocationReviews,0
a friend of us booked this place for a short visiting,LocationReviews,0
a friendly and efficient staff to assist in making your stay a pleasant and memorable experience,ServiceReviews,1
a friendly well run resort very quiet pleasant clean rooms with and shopping very helpful staff i would recommend to anyone going to koh larn cant wait to go back myself,ServiceReviews,1
a giant lysard in the bedroom,ServiceReviews,1
a good clean hotel excellent service,ServiceReviews,1
a good hotel for this city,LocationReviews,0
a good location,LocationReviews,0
a good relaxing staying with no issue,LocationReviews,0
a good spacious guesthouse conveniently situated between the local mall of central kad suan keaw and the trendy area of nimman,LocationReviews,0
a good vibe and clean bathrooms,LocationReviews,0
a great base for exploring the area even down to naval base for the day,LocationReviews,0
a great find beautique hotel in phaya thai area,LocationReviews,0
a great hotel in a perfect location,LocationReviews,0
a great location if you have transport,LocationReviews,0
a great place to relax with an without family,LocationReviews,0
a great place to stay for a relaxing holiday,LocationReviews,0
a group a friends rented here for their birthday and the place was fantastic,LocationReviews,0
a group of us stayed at the residence garden for 2 weeks an we absolutely loved the place,LocationReviews,0
a group of us stayed at yourhouse 3 and it was convenient,ServiceReviews,1
a hidden gem hide away just a little from phuket town,LocationReviews,0
a hop step and a jump from beach rd and a stones throw from walking st the location is perfect for those who wish to sample all pattaya has to offer,LocationReviews,0
a hotel close to the beach,LocationReviews,0
a hotel near bts morchit that deserve your need,LocationReviews,0
a hotel set in a quiet location away from the main town,LocationReviews,0
a large and very clean kitchen that had everything you can ask for and,ServiceReviews,1
a large bedroom with two decks on either side of the building,ServiceReviews,1
a little bit outside of the city center,LocationReviews,0
a little out of town,LocationReviews,0
a little ways away from the backpacker area but still central and near beautiful lumphini park,LocationReviews,0
a lot of local restaurant nearby,LocationReviews,0
a lot of shop an food point around the place,LocationReviews,0
a lovely hotel in the district with several embassies therefore the area is safe,LocationReviews,0
a lovely place right in the middle of the jungle but still enough restaurants in the neighbourhood,LocationReviews,0
a lovely resort but a little distance away from the beach,LocationReviews,0
a luxurious peaceful setting with a vista money cant buy,LocationReviews,0
a middle class hotel located along the main road,LocationReviews,0
a modest looking place sunny days inn has everything to offer you to make your stay comfortable,LocationReviews,0
a more quiet place and great for resting,LocationReviews,0
a nice and clean hotel in a good position in bangkok,ServiceReviews,1
a nice cozy hotel a little away from the hustle and bustle of the old city,LocationReviews,0
a nice hotel in a good location,LocationReviews,0
a nice hotel with very friendly staff,ServiceReviews,1
a nice place and friendly staff but well no cleaning service at all during our stay,LocationReviews,0
a nice place on the busy chaweng beach,LocationReviews,0
a nice pool,ServiceReviews,1
a nice quiet place in the big city in between the citywall,LocationReviews,0
a peaceful and quiet location,LocationReviews,0
a peaceful refuge on koh phangan,LocationReviews,0
a place for tourists to enjoy the views,LocationReviews,0
