summary,vocab,relation,category
lay restaurant is super tasty meal,tasty,foodreview,1
lay yamu seafood restaurant is delicious food,delicious,foodreview,1
layers is authentic thai cuisine,thai cuisine,foodreview,1
layers is great food varied service,great food,foodreview,1
laylao aree is value priced 100 imported japanese food in bangkok,japanese food,foodreview,1
laypang renu is super fresh sushi and sashimi,sashimi,foodreview,1
lazaza eatery is good food,good food,foodreview,1
lazaza eatery is sashimi entree fish was frozen rock solid truly bizarre,sashimi,foodreview,1
lazaza eatery is very tasty,tasty,foodreview,1
lazy goose is absolutely delicious,delicious,foodreview,1
lazy house harbor restaurant is authentic thai taste feel like home,taste,foodreview,1
lazy house harbor restaurant is authentic thai taste truly home recipe,taste,foodreview,1
lazy mary coffee is beer,beer,foodreview,1
lazy mary coffee is long wait but good food,good food,foodreview,1
le bistro is only here nice espresso,espresso,foodreview,1
le boeuf the steak fries bistro is coffee was superb,steak,foodreview,1
le boeuf the steak fries bistro is only here nice espresso,steak,foodreview,1
le boeuf the steak fries bistro is songkran festival,steak,foodreview,1
le boeuf the steak fries bistro is takorn garden home,steak,foodreview,1
le bordeaux is nice raman for lunch,lunch,foodreview,1
le bordeaux is well priced contemporary shabu shabu,contemporary,foodreview,1
le brooklyn patong is delicious food,delicious,foodreview,1
le cabanon is delicious sushi,delicious,foodreview,1
le cabanon is excellent and creative sushi,creative sushi,foodreview,1
le cabanon is lovely fresh sashimi,sashimi,foodreview,1
le cafe des stagiaires bangkok is awesome oysters,oysters,foodreview,1
le cafe des stagiaires bangkok is very fresh and yummy,yummy,foodreview,1
le celtique is best food in karon,best food,foodreview,1
le cochon blanc is excellent food excellent value,excellent food,foodreview,1
le cochon blanc is jan feb 2019 8 weeks with delicous thai meals,meals,foodreview,1
le cochon blanc is value great food,great food,foodreview,1
le colibri is a vegetarian surprise,vegetarian,foodreview,1
le colibri is best red curry,red curry,foodreview,1
le colibri is good food cozy river view,good food,foodreview,1
le colonial beach club is great thai food with nice desserts in a nostalgic style house,desserts,foodreview,1
le coq en pate is great thai food with nice desserts in a nostalgic style house,desserts,foodreview,1
le dalat is good breakfast,breakfast,foodreview,1
le dalat is nice breakfast,breakfast,foodreview,1
le dalat restaurant is friendly staff and amazing food,amazing food,foodreview,1
le danang is yummy fresh seafood,yummy,foodreview,1
le dolce cafe restaurant healthy nutrition is amazing food and people,healthy,foodreview,1
le dolce cafe restaurant healthy nutrition is best meal on phuket,healthy,foodreview,1
le dolce cafe restaurant healthy nutrition is delightful food and service,healthy,foodreview,1
le dolce cafe restaurant healthy nutrition is excellent,healthy,foodreview,1
le gong restaurant is great food and environment,great food,foodreview,1
le grand lanna is seafood,is seafood,foodreview,1
le klub lounge bar is good japanese lunch,lunch,foodreview,1
le lapin sandwich delivery is good food great setting,good food,foodreview,1
le lapin sandwich delivery is spicy seafood noodle,noodle,foodreview,1
le marin restaurant is good food great setting,good food,foodreview,1
le marin restaurant is rich creamy tom yam soup noodles,soup noodles,foodreview,1
le marin restaurant is spicy seafood noodle,noodle,foodreview,1
le normandie is a little cafe that serves nice food at reasonable prices,nice food,foodreview,1
le normandie is delicious food,delicious,foodreview,1
le normandie is yum,yum,foodreview,1
le panier gourmand marco phuket co ltd is great food after temple visits,great food,foodreview,1
le panier gourmand marco phuket co ltd is great thai food,great thai food,foodreview,1
le panier gourmand marco phuket co ltd is incredible food try the curry,incredible food,foodreview,1
le petit bistrot is delicious japanese food,delicious,foodreview,1
le petit bistrot is excellent japanese food,japanese food,foodreview,1
le reve is delicious japanese food,delicious,foodreview,1
le reve is excellent japanese food,japanese food,foodreview,1
le reve restaurant is nice owner great food,great food,foodreview,1
le siam restaurant is amazing staff and food service,food service,foodreview,1
le vendome is great hospitality and amazing sushi,amazing sushi,foodreview,1
le vendome is the taste of japan in patong,taste,foodreview,1
lecker always good restaurant is delicious food and atmosphere just need a new waitress,delicious,foodreview,1
lecker always good restaurant is excellent food at a very reasonable price,excellent food,foodreview,1
lecker always good restaurant is nice food and surroundings,nice food,foodreview,1
leckerle is great food and service,great food,foodreview,1
lee cafe is lunch brunch menu way better than dinner,lunch,foodreview,1
lee jae vegetarian food is good vibes good food,vegetarian,foodreview,1
lee jae vegetarian food is pizzas and 3 litre chang,vegetarian,foodreview,1
lee jae vegetarian food is quality food and excellent service,vegetarian,foodreview,1
lee jae vegetarian food is relaxing evening,vegetarian,foodreview,1
lee pizzeria restaurant is great food great prices,pizzeria,foodreview,1
lee pizzeria restaurant is great service and delicious food,pizzeria,foodreview,1
lee pizzeria restaurant is nice dinner time,pizzeria,foodreview,1
lee pizzeria restaurant is nice family restaurant,pizzeria,foodreview,1
legends sports bar grill is steak amazing ribs a let down,steak,foodreview,1
lek rut seafoods is nice place,nice place,Locationreviews,0
lelawadee restaurant is fresh tasty,tasty,foodreview,1
lelawadee restaurant is good japanese food at a good value,japanese food,foodreview,1
lelawadee restaurant is nice food,nice food,foodreview,1
lemon farm macrobiotic restaurant bangkok is not a good experience avoid if you like indian food,indian food,foodreview,1
lemon farm macrobiotic restaurant bangkok is really tasty food,tasty,foodreview,1
lemon farm macrobiotic restaurant bangkok is very good and tasty,tasty,foodreview,1
lemongrass restaurant is beautiful location overpriced and mediocre food,beautiful,Locationreviews,0
lemongrass restaurant is good food at a reasonable price,good food,foodreview,1
lemongrass restaurant is great food pity about the smoke,great food,foodreview,1
lemongrass thai cuisine is absolutely terrible,thai cuisine,foodreview,1
lemongrass thai cuisine is kata country house never disappoints,thai cuisine,foodreview,1
lemongrass thai cuisine is stick to ordering thai food and you will be fine,thai cuisine,foodreview,1
lemongrass thai cuisine is suspiciously fast,thai cuisine,foodreview,1
lemontree is delicious food,delicious,foodreview,1
leng kee is best food in karon,best food,foodreview,1
leng kee is great food great service great price,great food,foodreview,1
leng kee is great value food and alcohol,value food,foodreview,1
lenzi tuscan kitchen is happy by the delicious shabu ever,delicious,foodreview,1
leo mas ristorante italiano e pizzeria is delisious turkish food,pizzeria,foodreview,1
leo mas ristorante italiano e pizzeria is good food good price,pizzeria,foodreview,1
leo mas ristorante italiano e pizzeria is lunch,pizzeria,foodreview,1
leo mas ristorante italiano e pizzeria is very nice place to grab turkish cuisine super delicious meal,pizzeria,foodreview,1
leonardo davinci is local,local,Locationreviews,0
leonardo davinci is yummy lunch,yummy,foodreview,1
lert ros is one of the best tonkatsu place in town,tonkatsu,foodreview,1
let us eat is awesome food,eat,foodreview,1
let us eat is nice spor,eat,foodreview,1
let us eat is one of the best katsu,eat,foodreview,1
let us eat is worst attitude ever,eat,foodreview,1
let us sea hua hin s beach restaurant is,sea,Locationreviews,0
let us sea hua hin s beach restaurant is average overpriced,sea,Locationreviews,0
let us sea hua hin s beach restaurant is gem,sea,Locationreviews,0
let us sea hua hin s beach restaurant is not that wow but ok to try,sea,Locationreviews,0
letic cafe is great food at bargain prices,great food,foodreview,1
letic cafe is lovely food,lovely food,foodreview,1
levantine east mediterranean cuisine is,cuisine,foodreview,1
levantine east mediterranean cuisine is average overpriced,cuisine,foodreview,1
levantine east mediterranean cuisine is gem,cuisine,foodreview,1
levantine east mediterranean cuisine is not that wow but ok to try,cuisine,foodreview,1
lhong restaurant bar is best food service in koh yao noi,best food,foodreview,1
lido italian restaurant pizzeria is as always an excellent restaurant,pizzeria,foodreview,1
lido italian restaurant pizzeria is best food service in koh yao noi,pizzeria,foodreview,1
lido italian restaurant pizzeria is food to dream about after going back to europe,pizzeria,foodreview,1
lido italian restaurant pizzeria is most authentic thai foot on the island,pizzeria,foodreview,1
light of india 2 is delicious but the price and portion not matching,delicious,foodreview,1
light of india is convenient location,location,Locationreviews,0
lin fa chinese restaurant is great food,great food,foodreview,1
linda seafood is nice ambience nice food and reasonable price,nice food,foodreview,1
linda seafoods is cozy place and a great dining experience at reasonable price,place,Locationreviews,0
link cuisine bar is best indian in bangkok,cuisine,foodreview,1
link cuisine bar is best kebab ever,cuisine,foodreview,1
link cuisine bar is highly recommend,cuisine,foodreview,1
link cuisine bar is wow,cuisine,foodreview,1
link cuisine is best indian in bangkok,cuisine,foodreview,1
link cuisine is best kebab ever,cuisine,foodreview,1
link cuisine is highly recommend,cuisine,foodreview,1
link cuisine is wow,cuisine,foodreview,1
lins cafe is perfect spot for evening cocktails,cocktails,foodreview,1
liquid bar cafe is lunch,lunch,foodreview,1
little brochette is hidden gem in sukhumvit 55,hidden gem,Locationreviews,0
little brochette is lovely dinner,dinner,foodreview,1
little dragon dim sum restaurant is gambled and lost,dim sum,foodreview,1
little dragon dim sum restaurant is outstanding food and service,dim sum,foodreview,1
little dragon dim sum restaurant is thumbs up,dim sum,foodreview,1
little dragon dim sum restaurant is very disappointed,dim sum,foodreview,1
little home bakery is good food,good food,foodreview,1
little home bakery is local astmosphere,local,Locationreviews,0
little hongkong is good food,good food,foodreview,1
little hongkong is local astmosphere,local,Locationreviews,0
little india is affordable dim sum local delights,dim sum,foodreview,1
little italy is great view of the water and fairly large menu,view,Locationreviews,0
little italy ristorante is fried chicken,fried chicken,foodreview,1
little italy ristorante is thai fusion ed kfc,fusion,foodreview,1
little norway restaurant beer garden is beautiful,beer,foodreview,1
little norway restaurant beer garden is khai restaurant at banglut beach,beer,foodreview,1
little norway restaurant beer garden is nice beach restaurant,beer,foodreview,1
little norway restaurant beer garden is worth a visit,beer,foodreview,1
little paris is beautiful,beautiful,Locationreviews,0
little paris is khai restaurant at banglut beach,banglut beach,Locationreviews,0
little paris is nice beach restaurant,nice beach restaurant,Locationreviews,0
little prince indian cuisine is best authentic thai food,cuisine,foodreview,1
little prince indian cuisine is loved the food here,cuisine,foodreview,1
little prince indian cuisine is terrific food,cuisine,foodreview,1
little prince indian cuisine is the best tampora prawns in thailand,cuisine,foodreview,1
little sea phuket is best authentic thai food,sea,Locationreviews,0
little sea phuket is loved the food here,sea,Locationreviews,0
little sea phuket is terrific food,sea,Locationreviews,0
little sea phuket is the best tampora prawns in thailand,sea,Locationreviews,0
little tiger is dinner,dinner,foodreview,1
little vietnam vietnam coffee is a most delicious 100 indian vegetarian indian food for an excellent price,delicious,foodreview,1
little vietnam vietnam coffee is one of the top 5 indian vegetarian restaurants in bangkok,vegetarian,foodreview,1
little vietnam vietnam coffee is tasty vegetarian delights,tasty,foodreview,1
little vietnam vietnam coffee is vegetarian paradise,vegetarian,foodreview,1
liu is best place for couples,place,Locationreviews,0
live india indian restaurant is best place for couples,place,Locationreviews,0
living room bistro is hidden gem,hidden gem,Locationreviews,0
living room restaurant at impiana private villas is great thaifoods in a quiet place,place,Locationreviews,0
livv finest food drinks is great find in old phuket town,town,Locationreviews,0
livv finest food drinks is hidden gem,hidden gem,Locationreviews,0
livv finest food drinks is taste of thai,taste,foodreview,1
lk the empress restaurant is very nice place with good price,nice place,Locationreviews,0
lo spaghetto is a wonderful experience,wonderful,Locationreviews,0
lo spaghetto is delicious chicken noodle soup,delicious,foodreview,1
lo spaghetto is great indian food,indian food,foodreview,1
lo stivale is a wonderful experience,wonderful,Locationreviews,0
lo stivale is delicious chicken noodle soup,delicious,foodreview,1
lo stivale is great indian food,indian food,foodreview,1
lo strabacco italian restaurant is good food with an awesome view,good food,foodreview,1
lo strabacco italian restaurant is great food with superb view,great food,foodreview,1
lo strabacco italian restaurant is super view,view,Locationreviews,0
loaf is cheap and delicious,delicious,foodreview,1
loaf is my favorite place,favorite place,Locationreviews,0
loaf is nice curry noodle,curry,foodreview,1
lobby lounge bar is northern local food,local,Locationreviews,0
lobby lounge is delicious,delicious,foodreview,1
lobby salon the sukhothai bangkok is breakfast with the real foods,breakfast,foodreview,1
lobby salon the sukhothai bangkok is good place without variety of meals,place,Locationreviews,0
lobby salon the sukhothai bangkok is just overall very good food and calm friendly service,good food,foodreview,1
lobster oyster by chef marian baranek is amazingly delicious foods,lobster,foodreview,1
lobster oyster by chef marian baranek is nice place,lobster,foodreview,1
lobster oyster by chef marian baranek is pizza in khaolak,lobster,foodreview,1
lobster prawn restaurant is amazingly delicious foods,lobster,foodreview,1
lobster prawn restaurant is pizza in khaolak,lobster,foodreview,1
lobster prawn restaurant is was just a bar now an excellent restaurant,lobster,foodreview,1
lobsters oysters by chef marian baranek is a very cozy place,oysters,foodreview,1
lobsters prawn restaurant is a very cozy place,place,Locationreviews,0
loca vore is hidden gem,hidden gem,Locationreviews,0
