,loss,accuracy,precision,recall,f1,model,pretraining,n_iter
0,5.531314010881108,0.950542299345117,0.9654440739588802,0.9654440739588802,0.9654440739588802,Large Model,1000,1
1,0.10450314895575052,0.9498915401260308,0.9623267028301317,0.9678690512247109,0.9650899199003625,Large Model,1000,2
2,0.013603437943814772,0.9518438177832892,0.9643827346786467,0.9684752955411686,0.9664246823927211,Large Model,1000,3
3,0.0032467677755009857,0.9509761388245077,0.9626618488378119,0.9690815398576264,0.9658610271874143,Large Model,1000,4
4,0.0007362746066518627,0.9494577006466401,0.9611913357371805,0.9684752955411686,0.9648195681686099,Large Model,1000,5
0,5.848963617437008,0.9416485900176068,0.9557761732823232,0.9630190966930494,0.9593839649676601,Large Model,500,1
1,0.1267011028020005,0.9488069414275541,0.9633888048382349,0.9651409518006513,0.9642640823713983,Large Model,500,2
2,0.014587332585348278,0.9475054229893818,0.9644484958949728,0.9621097302183629,0.9632776934720387,Large Model,500,3
3,0.003097941350403685,0.9501084598657262,0.9657056145645958,0.9645347074841936,0.9651198058812098,Large Model,500,4
4,0.0006918066615474311,0.9475054229893818,0.9650136902921661,0.9615034859019052,0.9632553902187572,Large Model,500,5
0,6.079420371225865,0.9379609544427855,0.9580419580390452,0.9551379205790993,0.9565877352733559,Large Model,200,1
1,0.14080777403721179,0.9431670281954744,0.9588999697764917,0.961806608060134,0.9603510895854711,Large Model,200,2
2,0.016213367313225813,0.9503253796054216,0.9674177831882844,0.9630190966930494,0.9652134285250944,Large Model,200,3
3,0.0034515644846823887,0.95227765726268,0.9683602068726245,0.9648378296424225,0.9665958092895033,Large Model,200,4
4,0.0006918490596685423,0.954013015180243,0.9681528662391018,0.9675659290664821,0.9678593086689877,Large Model,200,5
0,6.438129096353933,0.9449023861130373,0.9603870577533705,0.9627159745348205,0.9615501059613638,Blank Model,50,1
1,0.1626689222340012,0.9472885032496864,0.9669926650337195,0.9590785086360744,0.9630193273445046,Blank Model,50,2
2,0.01809317813458078,0.9501084598657262,0.965423111916999,0.9648378296424225,0.9651303820468007,Blank Model,50,3
3,0.004253484361640414,0.9492407809069447,0.9631308552403653,0.9660503182753378,0.9645883777210515,Blank Model,50,4
4,0.001098002176362585,0.9485900216878587,0.9628174123308259,0.9654440739588802,0.9641289541366305,Blank Model,50,5
