,loss,accuracy,precision,recall,f1,model,pretraining,n_iter
0,3.1440863620958086,0.9901772879684227,0.9779761904703692,0.9975713418275801,0.9876765855065364,Large Model,1000,1
1,0.05488155835499612,0.9925730713895901,0.9844124700180791,0.996964177285993,0.9906485671131786,Large Model,1000,2
2,0.009370624780908499,0.9904168663105395,0.9814260035890868,0.9945355191196447,0.9879372738179257,Large Model,1000,3
3,0.0017732315521445663,0.9889793962578391,0.9790544584022798,0.9933211900364705,0.9861362266366116,Large Model,1000,4
4,0.0005459660012294867,0.9885002395736057,0.9773134328299863,0.9939283545780576,0.9855508729621582,Large Model,1000,5
0,3.3015270309508176,0.985625299468205,0.9664902998179513,0.9981785063691672,0.9820788530407284,Large Model,500,1
1,0.05870365190398341,0.989937709626306,0.9802513464932361,0.9945355191196447,0.9873417721459473,Large Model,500,2
2,0.008006768985320052,0.9904168663105395,0.9808497905387144,0.9951426836612317,0.9879445449006151,Large Model,500,3
3,0.001832825011896709,0.9901772879684227,0.9802631578888741,0.9951426836612317,0.9876468815848891,Large Model,500,4
4,0.0005236821909796255,0.9901772879684227,0.9796893667802886,0.9957498482028189,0.9876543209817064,Large Model,500,5
0,3.6171115417715685,0.9870627695209053,0.9732620320797787,0.9945355191196447,0.9837837837778752,Large Model,200,1
1,0.06898931328269348,0.990896022994773,0.9820251647634392,0.9951426836612317,0.9885404101267278,Large Model,200,2
2,0.010065807691148898,0.9906564446526562,0.9802867383453986,0.9963570127444059,0.9882565492262074,Large Model,200,3
3,0.0022415936707178286,0.989937709626306,0.9785330948063297,0.9963570127444059,0.9873646209326874,Large Model,200,4
4,0.0006759244280981659,0.9885002395736057,0.975044563274064,0.9963570127444059,0.9855855855796661,Large Model,200,5
0,3.9264993759723104,0.9820316243364542,0.9623529411708097,0.9933211900364705,0.9775918733135488,Blank Model,50,1
1,0.07889781513070862,0.9877815045472556,0.9744351961892127,0.9951426836612317,0.9846800841034264,Blank Model,50,2
2,0.013283346115580644,0.9880210828893723,0.9755807027934749,0.9945355191196447,0.9849669272340051,Blank Model,50,3
3,0.0024502276173221926,0.9861044561524385,0.9720736779502551,0.9933211900364705,0.9825825825766813,Blank Model,50,4
4,0.0008555483173542135,0.9870627695209053,0.9732620320797787,0.9945355191196447,0.9837837837778752,Blank Model,50,5
