summary,type,category
11 and 9 and felt happy leaving them with an instructor to snorkel while we,NatureTravel,0
13yo and we had a ball it was great to get up close with the animals pat the deer,NatureTravel,0
16 14 this was our first scuba diving experience and we all thoroughly enjoyed the day parents were not required to come along,NatureTravel,0
2 adults and 1 12yr old who are fairly new to diving from start to finish the process was flawless,NatureTravel,0
2 mackerels and a couple of smaller tuna thanks to tobin for an awesome fishing experience,NatureTravel,0
4 of us making the open water diver certification course and the other two making some fun diving without doubt,NatureTravel,0
4 of us with diving licence,NatureTravel,0
4 predator rods 2x arapaima a dozen red tail and thai thail catfish 1x huge chao prayer catfish lots of pacu and im sure when you start to forget what you have caught it was a good days fishing,NatureTravel,0
a beautiful and relaxing location to go fishing for large freshwater specimens add to that the wonderful landscaped environment,NatureTravel,0
a booking was made for 6 of us to go fishing all of us are quite experienced fisherman at home and so thought it would be something different but unfortunately we only trawled for fish,NatureTravel,0
a grand exhibition of animals trained to entertain people over a 90 minute showcase my kids aged 6 and 3 where left a little scared at time kids left feeling sad there is a silly process of handing over your mobile phones for storage during,NatureTravel,0
a holiday combining scuba diving and yoga was my dream,NatureTravel,0
a lot of restaurant and also connect to big c extra the famous supermarket in thailand,ShoppingTravel,1
a must visit in phuket for the adventure seeking people atv vehicles are available for single and 2 persons one only needs primary knowledge of driving the vehicles are very stable and the center of gravity is at a low height an instructor leads you to show,NatureTravel,0
a safari room is drew with full of different animals thirdly,NatureTravel,0
absolutely recommendable kitty tells so vividly and in good english she arranged a snorkel trip for us here were thai s who were guides a absolutly great experience to a not crowded place the mangroves,NatureTravel,0
absolutely the best experience i could have had for my first time diving matt and mark were so professional and welcoming to the world of diving i cannot recommend tigerland scuba enough,NatureTravel,0
acdc diving is a great diving school they gave me a new,NatureTravel,0
actually getting on the liveonboard on the mv bavaria and doing the scuba diving made all the initial annoyances worth it i booked with the company directly instead of another site like liveaboard com or padi travel which i have heard can be a hassle too,NatureTravel,0
advance,NatureTravel,0
advanced nitrox and decompression procedures i should say those 6 days of academics,NatureTravel,0
adventure and party destination for young and old friendly locals,NatureTravel,0
adventure divers with saifon boat they a good service good team to work with if u plan to scuba in thailand i will come with this team,NatureTravel,0
advice on an appropriate style that suits my need and look all these times without being,NatureTravel,0
after a break of almost five years we did scuba diving again i wrote to some diving centres before and got compared to others a very comprehensive,NatureTravel,0
after an abstinence of 18 years from diving,NatureTravel,0
after being taken on the snorkeling trip,NatureTravel,0
after having contacted thai native jewellers by email we met to discuss the design of the ring tarun is definitely a professional and has a very keen eye for choice of stones the final product was exactly as requested and the stones are beautiful i,ShoppingTravel,1
after years of wanting to try free diving i decided to give it a go after completing my open water course with big blue i can safely say it is one of the best things i have ever done jp was perfect from the start and the,NatureTravel,0
