summary,type,category
 random  people on the street that seem very kind and genuine will set you up with a tuk tuk driver to this special tour,ShoppingTravel,1
000 00 for a jacket and pants,ShoppingTravel,1
000 bhat had suit coat made in under 24 hours for 3000 bhat i am very pleased and cant wait to come back for more suits,ShoppingTravel,1
000 bhat on a wooden standing lanna buddha which the owner actually,NatureTravel,0
1 beautiful clear blue silk dress and 1 classic dark blue dress for me and 3 fantastic skirts for my husband so greatful and happy for it rony and his tailor is very proffesional we really can recomend to go there,ShoppingTravel,1
1 coat and 5 shirts and everything suit perfectly what is more,ShoppingTravel,1
1 dress,ShoppingTravel,1
1 jacket and 5 shorts great fits very well and i am very satisfied can only recomend louis to every one thanks,ShoppingTravel,1
1 linen shirt,ShoppingTravel,1
1 overcoat and leather jacket great job very happy thanks mr harry,ShoppingTravel,1
1 shirt and a tie we had 2 fittings in order to get the perfect sizing,ShoppingTravel,1
1 shirt bond is very friendly and very comprehensive about what i needed i am very satisfied about the quality i recommand him,ShoppingTravel,1
1 suit and a coat the result was just stunning the fabric have a great quality and also gione is a genius at his handcraft i mean just look at the results,ShoppingTravel,1
1 suit that fits like a dream 2 pair of shorts and the most amazing pair of tailored shoes the guys could not do enough for me they,ShoppingTravel,1
10 mins drive and we arrived at the elephant house the start was feeding the elephants in the houses,NatureTravel,0
10 shirts 18000baht,ShoppingTravel,1
10 yrs and 12 yrs did not really expect anything and we got totally amazed when we saw the beach it was like a piece of paradise to us sun,NatureTravel,0
100 503920 e 13 45 12 5 n 100 30 14 1 e within the ground of wat thepthidaram temple of the heavenly daughter movies such as pra a paimanee,NatureTravel,0
100 recommended place they really care about the elephants and about the visitors i will repeat if i came back to thailand,NatureTravel,0
100m of not really sandy beach,NatureTravel,0
12 08 19 i visited phi phi with my mum on the way to krabi we didn t have much time on the island before getting back on the ferry to go to krabi so instead of doing a tour around all the attractions beaches,NatureTravel,0
15 shirts 2 jackets and 4 dresses 6 blouses for the ladies the quality were just,ShoppingTravel,1
1km walk from hua lampong mrt station there are lots of small bits but the main hall is very spectacular and i found listening to the monks chanting for a while was very relaxing no need to,ShoppingTravel,1
1st time meeting ramu and luis i purchased 2 suits and 2 shirts everything was measured,ShoppingTravel,1
2 5km of great beach mid may and the wet season is approaching so some storms but mainly hot,NatureTravel,0
2 blazers and 6 business shirts nothing was an issue and he fixed up any minor tweaks on the second fitting can well recommend him,ShoppingTravel,1
2 central world,ShoppingTravel,1
2 chinos and 5 shirts,ShoppingTravel,1
2 days in hua hin visit of city and found this tailor in order to create a gents custom in only 2 days all fits perfect thanks to a professional and passionate service i can only recommend this shop in the city centre of,ShoppingTravel,1
2 dives it s a nice boat ride out,NatureTravel,0
2 hong island,NatureTravel,0
2 in phi phi islands and 2 in ao nang islands altought is the green season,NatureTravel,0
2 men s suits 2 shirts tailored nothing was too much trouble both were very professional best tailors in samui thank you to you both,ShoppingTravel,1
2 pairs of jeans and a nice winter jacket ready for the rest,ShoppingTravel,1
2 sea mantis from a stall,NatureTravel,0
2 shirts,ShoppingTravel,1
2 shirts and 1 pant within 4 days for my upcoming wedding nick was very skilful and helpful across the course of the journey,ShoppingTravel,1
2 shirts and a dress for my wife made here at milano collection we both got great service and always with a smile will reccommend this place to anyone thanks,ShoppingTravel,1
2 shirts and also a dress made on time for an overseas flight back the suits and shirts themselves are also well made and look,ShoppingTravel,1
2 shirts and everything fits perfectly see the photos and figure it out do not miss the opportunity of,ShoppingTravel,1
2 top 2 pant there they charged us 16000 baht for everything minus the material they told us how experience they are in making jacket with our brocade only to tell us that they cannot make the jacket using,ShoppingTravel,1
2 trousers and 3 shirts,ShoppingTravel,1
2 x shirt and a suit for my wife at a very reasonable price and good quality i would like to order more online going forward,ShoppingTravel,1
2 years ago we bought a lot of business clothes here and found the quality to be excellent and the service was fantastic looking to buy another order of clothes now,ShoppingTravel,1
20 baht to enter gets you a blessing with a little donation a wonderful 360 view places to sit and meditate or contemplate and a beautiful gong to ring for good luck,NatureTravel,0
20 dives logged,NatureTravel,0
20 plus food carts line this street along kalim beach we rode to the location from our patong hotel and it hardly took 3 minutes many locals frequent the place for their evening meals tho a few foodcarts are open for breakfast too we enjoyed the,ShoppingTravel,1
200 baht entry fee to the island included 1 soft drink the island is too small and have nothing to do than just chill with white sand beach and blue sea only half an hour on slow kayaking from koh mak great place to get,NatureTravel,0
200b round trip the third time we canoed over since our hotel offered free canoes like others have mentioned the beach doesn t have a bar,NatureTravel,0
2018 while walking through chiang mai s sunday walking street the paintings were displayed directly outside the gallery s storefront beside many other artists work on prapokkloa road before deciding to purchase,ShoppingTravel,1
2019 i visited ocean zone divers aok diving for some technical fun dives this is my second time diving with ozd team ozd has moved since my last visit,NatureTravel,0
3 5 year old and 1 5 year old and did the phi phi island by speedboat and it ended up being more like a full day island hopping adventure phi phi was probably the least interesting part of the trip only,NatureTravel,0
3 countries and to see some activity on the mekong river,NatureTravel,0
3 night trip to khao sok national park with paddle asia and it was the highlight of our 3 week trip in thailand we ended up being,NatureTravel,0
3 of the par 3 are below 110 metres the saving grace is the proximity to the city,ShoppingTravel,1
3 shirts,ShoppingTravel,1
3 shirts and 3 trousers now for 3 4 shirts they asked 200 like what definitely,ShoppingTravel,1
3 temples here and your can go into 2 of them one was 3 stories and must have over 100 buddhas in the grounds were very nice and kept up love that water was not expensive most attractions raise their prices but not in phuket,NatureTravel,0
